Order_ID,Order_Date,Ship_Date,Customer_Name,Region,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit
ORD0027,2024-05-02,2024-05-06,Customer_85,West,Phones,Feature Phone,Feature Phone 33,16913.62,7,0.15,-170.66
ORD0028,2024-05-30,2024-06-02,Customer_135,South,Accessories,Headphones,Headphones 39,34838.18,1,0.25,-6198.85
ORD0029,2024-07-23,2024-07-27,Customer_16,East,Tablets,Windows Tablet,Windows Tablet 29,107745.02,6,0.01,18710.54
ORD0030,2023-12-15,2023-12-19,Customer_39,North,Laptops,Business,Business 39,97913.31,2,0.16,3162.81
ORD0031,2023-02-24,2023-03-02,Customer_155,West,Tablets,Windows Tablet,Windows Tablet 34,85447.36,7,0.24,-7183.06
ORD0032,2023-04-26,2023-04-28,Customer_160,East,Laptops,Business,Business 15,91149.5,3,0.16,-9221.82
ORD0033,2024-05-03,2024-05-05,Customer_127,East,Phones,Feature Phone,Feature Phone 50,84588.69,1,0.09,10561.5
ORD0034,2024-12-28,2024-12-31,Customer_121,East,Accessories,Headphones,Headphones 4,74185.0,1,0.28,-16336.42
ORD0035,2023-11-30,2023-12-06,Customer_19,South,Tablets,Windows Tablet,Windows Tablet 15,27693.94,2,0.25,-4535.24
ORD0036,2024-09-10,2024-09-17,Customer_38,South,Tablets,Windows Tablet,Windows Tablet 12,105975.44,9,0.1,-2413.01
ORD0037,2023-06-01,2023-06-04,Customer_33,North,Tablets,Windows Tablet,Windows Tablet 38,47075.48,4,0.09,4986.85
ORD0038,2023-02-26,2023-03-02,Customer_147,East,Accessories,Headphones,Headphones 47,89128.04,4,0.13,7854.16
ORD0039,2023-08-31,2023-09-03,Customer_37,North,Laptops,Gaming,Gaming 3,101239.48,3,0.02,7399.95
ORD0040,2024-09-15,2024-09-20,Customer_81,East,Phones,Feature Phone,Feature Phone 35,21999.17,9,0.08,-180.93
ORD0041,2024-12-12,2024-12-13,Customer_127,South,Accessories,Chargers,Chargers 29,114758.12,3,0.2,2916.91
ORD0042,2024-04-12,2024-04-16,Customer_198,South,Laptops,Business,Business 48,29984.58,3,0.23,-2023.84
ORD0043,2023-07-13,2023-07-20,Customer_75,East,Tablets,Android Tablet,Android Tablet 48,99400.85,3,0.06,14899.1
ORD0044,2023-03-30,2023-04-03,Customer_112,South,Laptops,Business,Business 45,62594.89,10,0.1,-938.86
ORD0045,2023-06-09,2023-06-11,Customer_33,North,Accessories,Headphones,Headphones 21,50012.15,1,0.15,-4724.98
ORD0046,2024-11-23,2024-11-29,Customer_42,South,Phones,Feature Phone,Feature Phone 30,23132.04,1,0.29,-4132.45
ORD0047,2023-02-15,2023-02-22,Customer_125,East,Phones,Feature Phone,Feature Phone 29,58255.12,2,0.1,3356.29
ORD0048,2023-04-08,2023-04-12,Customer_96,West,Phones,iPhone,iPhone 11,119799.05,10,0.22,-2330.34
ORD0049,2023-04-12,2023-04-17,Customer_9,North,Accessories,Chargers,Chargers 31,34140.4,8,0.19,-3177.04
ORD0050,2023-03-04,2023-03-11,Customer_33,South,Accessories,Chargers,Chargers 25,26992.91,8,0.0,5988.31
ORD0051,2023-05-17,2023-05-22,Customer_189,South,Laptops,Gaming,Gaming 36,44778.91,6,0.06,4461.56
ORD0052,2024-10-15,2024-10-21,Customer_124,West,Laptops,Ultrabook,Ultrabook 3,2128.83,2,0.13,158.14
ORD0053,2023-03-21,2023-03-23,Customer_29,South,Phones,iPhone,iPhone 11,99121.22,3,0.19,-4112.97
ORD0054,2023-09-17,2023-09-19,Customer_79,West,Laptops,Ultrabook,Ultrabook 47,111624.33,6,0.08,15602.27
ORD0055,2023-08-20,2023-08-21,Customer_63,South,Phones,iPhone,iPhone 49,88638.26,10,0.04,17153.14
ORD0056,2023-01-02,2023-01-08,Customer_115,East,Laptops,Ultrabook,Ultrabook 49,65630.42,3,0.17,3858.85
ORD0057,2023-01-11,2023-01-13,Customer_58,North,Laptops,Ultrabook,Ultrabook 7,97996.59,10,0.15,4082.42
ORD0058,2023-08-23,2023-08-26,Customer_84,North,Phones,Android,Android 25,8660.41,10,0.09,-127.9
ORD0059,2024-07-24,2024-07-29,Customer_102,West,Tablets,Android Tablet,Android Tablet 47,97305.69,10,0.25,-7003.63
ORD0060,2023-11-15,2023-11-17,Customer_94,North,Tablets,Android Tablet,Android Tablet 25,38641.44,9,0.09,4048.81
ORD0061,2023-04-27,2023-04-28,Customer_56,South,Tablets,Android Tablet,Android Tablet 41,46630.18,7,0.01,9515.78
ORD0062,2023-05-14,2023-05-18,Customer_23,West,Tablets,Windows Tablet,Windows Tablet 11,92981.93,1,0.16,-9721.33
ORD0063,2024-02-14,2024-02-16,Customer_26,South,Laptops,Gaming,Gaming 44,8511.91,8,0.12,571.48
ORD0064,2024-09-26,2024-10-02,Customer_44,West,Phones,iPhone,iPhone 28,5998.3,8,0.08,606.18
ORD0065,2024-07-30,2024-08-05,Customer_80,South,Accessories,Chargers,Chargers 14,4982.16,9,0.12,337.39
ORD0066,2023-10-18,2023-10-22,Customer_91,East,Tablets,Android Tablet,Android Tablet 19,16832.68,1,0.07,2507.99
ORD0067,2024-12-06,2024-12-13,Customer_194,South,Tablets,Android Tablet,Android Tablet 12,65007.09,4,0.19,-7340.15
ORD0068,2024-10-24,2024-10-30,Customer_118,West,Tablets,iPad,iPad 32,51359.93,1,0.1,-2222.84
ORD0069,2023-04-19,2023-04-25,Customer_47,East,Phones,Feature Phone,Feature Phone 26,12763.25,3,0.15,223.27
ORD0070,2024-11-14,2024-11-17,Customer_81,North,Phones,Feature Phone,Feature Phone 15,58216.47,7,0.25,-2089.26
ORD0071,2023-10-20,2023-10-23,Customer_170,East,Tablets,Android Tablet,Android Tablet 35,63481.15,3,0.04,4429.08
ORD0072,2023-01-04,2023-01-06,Customer_88,South,Phones,Feature Phone,Feature Phone 19,70863.51,4,0.3,-10189.26
ORD0073,2023-03-13,2023-03-14,Customer_117,West,Tablets,Android Tablet,Android Tablet 17,41934.05,3,0.07,3484.29
ORD0074,2024-05-01,2024-05-04,Customer_169,South,Laptops,Business,Business 48,46827.51,6,0.2,-6099.6
ORD0075,2023-02-20,2023-02-24,Customer_140,North,Phones,iPhone,iPhone 36,109180.59,8,0.26,-15975.71
ORD0076,2024-11-08,2024-11-13,Customer_175,South,Accessories,Headphones,Headphones 13,27769.59,9,0.05,1302.47
ORD0077,2023-07-08,2023-07-14,Customer_73,West,Accessories,Headphones,Headphones 43,26333.18,8,0.05,4466.75
ORD0078,2024-06-22,2024-06-29,Customer_28,East,Tablets,Windows Tablet,Windows Tablet 34,34248.35,5,0.07,1671.21
ORD0079,2024-10-04,2024-10-07,Customer_149,North,Tablets,iPad,iPad 28,13600.46,5,0.16,-677.39
ORD0080,2024-11-02,2024-11-04,Customer_86,North,Laptops,Business,Business 20,63311.8,3,0.2,-1087.17
ORD0081,2023-03-28,2023-04-04,Customer_95,West,Accessories,Headphones,Headphones 37,56695.78,4,0.01,4521.66
ORD0082,2024-11-21,2024-11-26,Customer_117,South,Tablets,Android Tablet,Android Tablet 21,17671.99,4,0.23,-2230.96
ORD0083,2023-09-26,2023-10-01,Customer_152,South,Laptops,Ultrabook,Ultrabook 33,9507.1,3,0.12,-88.65
ORD0084,2024-08-12,2024-08-17,Customer_161,East,Laptops,Ultrabook,Ultrabook 22,103763.69,3,0.15,-3059.44
ORD0085,2023-07-25,2023-07-27,Customer_73,North,Phones,Feature Phone,Feature Phone 50,36010.57,10,0.07,5772.71
ORD0086,2023-02-15,2023-02-21,Customer_27,South,Laptops,Ultrabook,Ultrabook 2,16143.45,1,0.03,1820.1
ORD0087,2023-01-16,2023-01-19,Customer_154,East,Phones,Feature Phone,Feature Phone 36,16467.79,7,0.3,-3594.15
ORD0088,2024-08-28,2024-08-31,Customer_37,West,Phones,Android,Android 44,79751.36,10,0.17,2450.6
ORD0089,2024-10-30,2024-11-04,Customer_17,North,Accessories,Covers,Covers 22,73871.56,1,0.12,4926.46
ORD0090,2024-12-16,2024-12-23,Customer_35,North,Laptops,Gaming,Gaming 50,15925.69,5,0.27,-2747.7
ORD0091,2023-01-01,2023-01-02,Customer_76,South,Tablets,Android Tablet,Android Tablet 38,101407.0,7,0.23,-7516.19
ORD0092,2024-05-14,2024-05-17,Customer_51,North,Tablets,Windows Tablet,Windows Tablet 14,58115.34,9,0.02,5699.49
ORD0093,2024-10-24,2024-10-28,Customer_116,South,Laptops,Ultrabook,Ultrabook 38,40053.46,1,0.07,2523.24
ORD0094,2024-08-28,2024-08-30,Customer_98,North,Laptops,Ultrabook,Ultrabook 19,119661.16,2,0.26,-5202.42
ORD0095,2023-08-17,2023-08-21,Customer_179,South,Tablets,Windows Tablet,Windows Tablet 8,74752.12,5,0.05,592.01
ORD0096,2023-02-12,2023-02-18,Customer_62,East,Laptops,Gaming,Gaming 22,107889.17,3,0.01,22418.88
ORD0097,2023-01-22,2023-01-26,Customer_176,East,Tablets,Android Tablet,Android Tablet 9,93244.57,9,0.1,3975.08
ORD0098,2024-06-15,2024-06-16,Customer_122,West,Laptops,Gaming,Gaming 20,10088.28,7,0.22,-364.11
ORD0099,2024-05-13,2024-05-16,Customer_46,West,Laptops,Business,Business 2,96923.22,6,0.01,11601.99
ORD0100,2024-02-08,2024-02-13,Customer_174,South,Tablets,Windows Tablet,Windows Tablet 33,87596.15,4,0.17,5726.0
ORD0101,2024-01-14,2024-01-21,Customer_9,East,Accessories,Headphones,Headphones 20,2189.04,5,0.02,344.81
ORD0102,2024-11-25,2024-11-29,Customer_123,East,Laptops,Ultrabook,Ultrabook 43,39758.33,8,0.24,-6480.38
ORD0103,2024-01-31,2024-02-03,Customer_178,South,Laptops,Business,Business 38,92969.64,6,0.3,-5345.77
ORD0104,2024-05-21,2024-05-22,Customer_20,North,Tablets,Android Tablet,Android Tablet 35,54817.56,7,0.23,-2113.54
ORD0105,2024-10-03,2024-10-09,Customer_187,East,Phones,Feature Phone,Feature Phone 35,15867.58,2,0.3,-3631.67
ORD0106,2024-03-18,2024-03-21,Customer_9,West,Accessories,Headphones,Headphones 20,31390.11,6,0.18,-1795.22
ORD0107,2024-05-19,2024-05-22,Customer_122,West,Phones,iPhone,iPhone 41,44668.9,1,0.09,-466.65
ORD0108,2024-03-08,2024-03-14,Customer_17,East,Accessories,Chargers,Chargers 46,105529.46,1,0.22,-4387.53
ORD0109,2023-03-05,2023-03-08,Customer_28,West,Tablets,iPad,iPad 50,69814.06,3,0.26,-7350.59
ORD0110,2023-04-28,2023-04-29,Customer_74,West,Phones,Android,Android 31,85585.59,3,0.25,-13247.0
ORD0111,2024-10-12,2024-10-18,Customer_121,West,Accessories,Headphones,Headphones 33,58528.27,10,0.18,-1139.73
ORD0112,2023-03-21,2023-03-24,Customer_93,East,Phones,Android,Android 37,33733.49,4,0.22,-2752.63
ORD0113,2023-01-07,2023-01-10,Customer_92,West,Tablets,Windows Tablet,Windows Tablet 1,90694.57,10,0.21,-8049.57
ORD0114,2023-01-24,2023-01-27,Customer_40,West,Laptops,Gaming,Gaming 9,37954.28,5,0.21,1479.8
ORD0115,2024-08-29,2024-09-02,Customer_109,North,Tablets,Windows Tablet,Windows Tablet 50,65387.88,2,0.02,12963.8
ORD0116,2024-10-22,2024-10-29,Customer_152,South,Phones,iPhone,iPhone 36,42067.65,6,0.11,908.7
ORD0117,2024-01-07,2024-01-09,Customer_135,South,Laptops,Business,Business 21,98225.91,6,0.08,11616.47
ORD0118,2023-03-09,2023-03-14,Customer_103,South,Phones,iPhone,iPhone 12,53913.56,2,0.12,-1354.06
ORD0119,2024-05-19,2024-05-26,Customer_102,North,Tablets,Windows Tablet,Windows Tablet 3,55952.97,7,0.09,6852.81
ORD0120,2024-06-12,2024-06-19,Customer_176,West,Accessories,Headphones,Headphones 45,85050.32,6,0.11,1279.41
ORD0121,2023-08-18,2023-08-23,Customer_65,West,Laptops,Business,Business 26,89418.35,5,0.28,-4693.4
ORD0122,2023-08-19,2023-08-25,Customer_89,North,Accessories,Covers,Covers 11,3795.95,10,0.22,-519.3
ORD0123,2024-01-24,2024-01-30,Customer_77,East,Laptops,Business,Business 20,22597.87,5,0.22,-1722.09
ORD0124,2023-10-08,2023-10-09,Customer_193,East,Accessories,Covers,Covers 19,117857.46,2,0.12,4358.32
ORD0125,2023-10-11,2023-10-14,Customer_125,West,Tablets,iPad,iPad 34,111270.37,6,0.18,4586.52
ORD0126,2023-10-21,2023-10-27,Customer_129,West,Tablets,Windows Tablet,Windows Tablet 25,88940.92,3,0.19,1145.06
ORD0127,2023-02-14,2023-02-20,Customer_123,West,Tablets,Android Tablet,Android Tablet 48,92232.01,9,0.3,-15543.93
ORD0128,2023-07-22,2023-07-29,Customer_121,East,Accessories,Covers,Covers 30,111767.74,5,0.07,13062.97
ORD0129,2024-03-12,2024-03-16,Customer_117,North,Laptops,Ultrabook,Ultrabook 25,118061.93,8,0.2,-15137.37
ORD0130,2023-05-19,2023-05-23,Customer_171,North,Tablets,Android Tablet,Android Tablet 15,55068.07,5,0.02,4575.85
ORD0131,2023-10-02,2023-10-07,Customer_110,East,Tablets,Android Tablet,Android Tablet 21,82130.97,7,0.3,-15241.64
ORD0132,2024-07-30,2024-08-03,Customer_112,West,Phones,Android,Android 29,52733.25,2,0.24,272.6
ORD0133,2024-03-24,2024-03-28,Customer_161,East,Tablets,Android Tablet,Android Tablet 13,85992.32,8,0.1,4071.0
ORD0134,2024-10-17,2024-10-21,Customer_80,East,Phones,Android,Android 17,62588.17,2,0.13,-680.53
ORD0135,2024-03-19,2024-03-21,Customer_82,East,Accessories,Headphones,Headphones 12,85841.56,3,0.05,13744.44
ORD0136,2024-03-03,2024-03-05,Customer_32,South,Laptops,Business,Business 8,80780.27,1,0.15,2745.43
ORD0137,2024-07-04,2024-07-09,Customer_63,North,Tablets,iPad,iPad 14,52573.47,6,0.13,-3683.49
ORD0138,2024-02-23,2024-02-29,Customer_139,South,Accessories,Headphones,Headphones 7,119914.66,8,0.11,780.73
ORD0139,2023-09-30,2023-10-02,Customer_182,East,Accessories,Chargers,Chargers 11,41863.08,10,0.13,-1059.13
ORD0140,2023-11-25,2023-11-28,Customer_106,South,Tablets,iPad,iPad 42,64111.83,2,0.3,-14881.18
ORD0141,2024-09-09,2024-09-10,Customer_113,North,Accessories,Chargers,Chargers 18,44574.79,10,0.28,-2323.32
ORD0142,2023-01-07,2023-01-08,Customer_84,East,Tablets,Windows Tablet,Windows Tablet 19,111303.75,8,0.18,4669.42
ORD0143,2024-02-21,2024-02-25,Customer_43,South,Laptops,Gaming,Gaming 6,43440.44,7,0.25,-4940.96
ORD0144,2024-04-30,2024-05-04,Customer_155,South,Laptops,Gaming,Gaming 23,24637.54,3,0.08,2158.46
ORD0145,2024-12-11,2024-12-17,Customer_28,East,Laptops,Gaming,Gaming 1,83688.69,9,0.11,-3980.27
ORD0146,2024-12-06,2024-12-11,Customer_177,West,Phones,Android,Android 43,46263.14,3,0.21,-6300.48
ORD0147,2023-02-05,2023-02-07,Customer_168,South,Phones,iPhone,iPhone 27,71971.3,3,0.1,10536.2
ORD0148,2023-07-03,2023-07-08,Customer_2,West,Laptops,Ultrabook,Ultrabook 6,37243.68,7,0.16,-3986.29
ORD0149,2023-11-13,2023-11-18,Customer_30,East,Accessories,Headphones,Headphones 1,115563.59,2,0.23,-7140.35
ORD0150,2024-07-13,2024-07-15,Customer_199,East,Laptops,Ultrabook,Ultrabook 31,51304.57,1,0.29,-9808.12
ORD0151,2023-08-15,2023-08-18,Customer_118,South,Phones,Feature Phone,Feature Phone 12,22409.77,10,0.11,1596.93
ORD0152,2023-09-27,2023-10-03,Customer_96,West,Phones,Android,Android 27,32493.46,5,0.28,-3985.72
ORD0153,2024-10-15,2024-10-17,Customer_55,South,Laptops,Business,Business 22,108172.85,8,0.26,-6040.92
ORD0154,2024-02-22,2024-02-29,Customer_153,East,Tablets,Android Tablet,Android Tablet 21,12108.61,1,0.28,-1599.36
ORD0155,2024-09-14,2024-09-17,Customer_12,East,Phones,Feature Phone,Feature Phone 28,42700.57,9,0.2,-1155.29
ORD0156,2024-12-11,2024-12-13,Customer_81,North,Phones,Android,Android 44,106320.57,7,0.3,-8695.77
ORD0157,2024-07-26,2024-07-30,Customer_97,East,Phones,Android,Android 46,112056.29,9,0.15,-10963.97
ORD0158,2024-12-10,2024-12-14,Customer_14,South,Accessories,Covers,Covers 14,56396.04,2,0.07,1650.03
ORD0159,2024-03-08,2024-03-11,Customer_147,South,Accessories,Chargers,Chargers 23,20051.33,5,0.05,562.08
ORD0160,2024-06-18,2024-06-19,Customer_199,North,Accessories,Headphones,Headphones 25,4007.99,8,0.1,-126.74
ORD0161,2023-11-01,2023-11-07,Customer_74,North,Laptops,Ultrabook,Ultrabook 23,113472.79,9,0.3,-25881.4
ORD0162,2024-12-28,2024-12-31,Customer_81,East,Accessories,Covers,Covers 21,78091.83,6,0.06,13069.42
ORD0163,2024-09-17,2024-09-18,Customer_26,West,Laptops,Gaming,Gaming 8,98475.45,4,0.12,11177.78
ORD0164,2023-06-27,2023-07-01,Customer_161,East,Laptops,Gaming,Gaming 5,12270.24,1,0.27,-2517.69
ORD0165,2024-02-14,2024-02-21,Customer_162,East,Accessories,Chargers,Chargers 42,10872.85,9,0.22,250.39
ORD0166,2023-10-22,2023-10-29,Customer_58,East,Phones,Android,Android 8,55337.68,5,0.19,-7500.92
ORD0167,2024-02-01,2024-02-07,Customer_150,South,Laptops,Business,Business 46,76828.08,2,0.15,5613.23
ORD0168,2023-02-14,2023-02-18,Customer_74,West,Tablets,iPad,iPad 11,107707.64,6,0.3,-23579.06
ORD0169,2024-02-05,2024-02-07,Customer_126,North,Phones,Feature Phone,Feature Phone 37,81301.5,1,0.29,-12867.51
ORD0170,2023-08-29,2023-08-31,Customer_137,North,Phones,iPhone,iPhone 27,83400.62,3,0.13,306.23
ORD0171,2023-11-06,2023-11-08,Customer_76,North,Phones,Android,Android 16,56639.26,4,0.05,2242.8
ORD0172,2024-10-11,2024-10-15,Customer_177,West,Tablets,iPad,iPad 15,47893.63,9,0.06,6407.88
ORD0173,2024-02-25,2024-03-02,Customer_154,South,Laptops,Gaming,Gaming 45,5907.07,9,0.02,375.99
ORD0174,2023-04-18,2023-04-19,Customer_154,South,Laptops,Gaming,Gaming 6,34922.44,5,0.08,3052.17
ORD0175,2023-05-25,2023-05-30,Customer_119,East,Accessories,Headphones,Headphones 31,46290.85,5,0.05,5488.79
ORD0176,2024-01-29,2024-01-30,Customer_125,East,Tablets,iPad,iPad 33,39630.89,4,0.07,4372.35
ORD0177,2024-02-28,2024-03-02,Customer_183,East,Phones,Android,Android 15,11974.94,3,0.11,541.34
ORD0178,2023-05-20,2023-05-27,Customer_82,East,Accessories,Chargers,Chargers 41,98295.07,4,0.21,-10427.83
ORD0179,2023-04-25,2023-05-02,Customer_126,East,Accessories,Chargers,Chargers 33,111651.14,3,0.21,-8932.29
ORD0180,2024-12-12,2024-12-13,Customer_55,South,Phones,Feature Phone,Feature Phone 23,101414.24,10,0.25,-11149.77
ORD0181,2024-05-12,2024-05-15,Customer_93,South,Accessories,Headphones,Headphones 24,108066.29,2,0.07,12702.01
ORD0182,2024-01-11,2024-01-18,Customer_28,East,Accessories,Chargers,Chargers 6,36533.58,7,0.1,845.68
ORD0183,2023-05-20,2023-05-25,Customer_75,East,Phones,Android,Android 36,112277.7,9,0.12,10645.59
ORD0184,2023-12-29,2024-01-04,Customer_141,South,Phones,Android,Android 3,87825.79,1,0.2,-297.13
ORD0185,2023-10-26,2023-11-02,Customer_127,East,Accessories,Headphones,Headphones 39,52897.79,1,0.01,6462.18
ORD0186,2024-01-13,2024-01-15,Customer_95,East,Laptops,Gaming,Gaming 28,45502.92,1,0.14,1505.65
ORD0187,2024-09-08,2024-09-10,Customer_132,North,Accessories,Headphones,Headphones 3,104715.18,6,0.13,2420.49
ORD0188,2024-05-31,2024-06-05,Customer_87,North,Tablets,iPad,iPad 20,18413.1,8,0.07,2146.12
ORD0189,2023-07-16,2023-07-23,Customer_124,South,Phones,Android,Android 42,88251.77,4,0.05,9505.95
ORD0190,2023-06-28,2023-06-29,Customer_152,South,Phones,Feature Phone,Feature Phone 29,79114.11,7,0.2,-8185.94
ORD0191,2024-12-22,2024-12-29,Customer_164,West,Tablets,Windows Tablet,Windows Tablet 14,60287.06,3,0.11,3949.34
ORD0192,2023-07-04,2023-07-08,Customer_69,North,Tablets,iPad,iPad 13,91090.11,9,0.1,2021.84
ORD0193,2024-05-22,2024-05-23,Customer_18,East,Tablets,Windows Tablet,Windows Tablet 27,72052.03,1,0.21,-7517.9
ORD0194,2024-11-20,2024-11-22,Customer_143,East,Laptops,Ultrabook,Ultrabook 44,38620.37,5,0.03,3434.78
ORD0195,2024-10-11,2024-10-14,Customer_145,East,Phones,Android,Android 15,76426.09,6,0.23,-12485.5
ORD0196,2023-02-04,2023-02-11,Customer_170,West,Accessories,Chargers,Chargers 33,109724.82,6,0.3,-10531.29
ORD0197,2023-12-09,2023-12-13,Customer_5,North,Phones,iPhone,iPhone 44,5105.48,7,0.11,-283.75
ORD0198,2024-01-21,2024-01-26,Customer_30,East,Accessories,Chargers,Chargers 14,54008.46,7,0.15,-2890.34
ORD0199,2023-08-27,2023-08-29,Customer_155,East,Laptops,Gaming,Gaming 1,97740.21,7,0.15,-4439.8
ORD0200,2023-01-16,2023-01-19,Customer_69,West,Tablets,Android Tablet,Android Tablet 17,80044.56,7,0.15,371.01
ORD0201,2024-11-29,2024-11-30,Customer_172,West,Phones,Android,Android 16,45240.1,10,0.13,-2471.75
ORD0202,2024-01-03,2024-01-06,Customer_11,North,Accessories,Headphones,Headphones 19,65921.64,10,0.17,2506.08
ORD0203,2024-02-24,2024-03-01,Customer_83,South,Tablets,Windows Tablet,Windows Tablet 35,34218.93,6,0.01,3927.79
ORD0204,2024-06-21,2024-06-24,Customer_157,West,Phones,Feature Phone,Feature Phone 39,77122.85,5,0.21,-34.79
ORD0205,2023-04-09,2023-04-14,Customer_144,North,Accessories,Chargers,Chargers 11,64103.39,8,0.25,-5610.6
ORD0206,2023-05-28,2023-05-30,Customer_63,South,Phones,iPhone,iPhone 26,47743.98,5,0.06,4489.06
ORD0207,2024-05-20,2024-05-22,Customer_126,South,Laptops,Business,Business 7,17922.24,1,0.03,3617.68
ORD0208,2024-08-06,2024-08-08,Customer_181,South,Phones,iPhone,iPhone 19,62873.08,4,0.25,-2024.78
ORD0209,2023-07-13,2023-07-19,Customer_113,North,Phones,iPhone,iPhone 3,7733.12,1,0.13,592.41
ORD0210,2024-12-21,2024-12-24,Customer_82,North,Phones,Feature Phone,Feature Phone 32,76872.94,5,0.07,10700.03
ORD0211,2024-12-25,2024-12-29,Customer_142,West,Laptops,Gaming,Gaming 32,37448.13,4,0.3,-4533.37
ORD0212,2024-04-02,2024-04-04,Customer_151,West,Accessories,Chargers,Chargers 7,39584.44,1,0.09,994.74
ORD0213,2024-09-07,2024-09-09,Customer_108,East,Phones,Android,Android 39,88690.55,4,0.22,-12840.09
ORD0214,2024-05-07,2024-05-13,Customer_183,West,Laptops,Business,Business 5,93366.78,10,0.06,17606.22
ORD0215,2024-11-29,2024-11-30,Customer_29,South,Tablets,iPad,iPad 9,58730.97,5,0.18,-254.2
ORD0216,2023-04-28,2023-05-04,Customer_175,North,Tablets,Windows Tablet,Windows Tablet 33,56974.48,3,0.02,9967.61
ORD0217,2024-01-13,2024-01-14,Customer_12,East,Tablets,Android Tablet,Android Tablet 20,66995.62,3,0.16,-5815.18
ORD0218,2023-03-18,2023-03-24,Customer_96,South,Tablets,Windows Tablet,Windows Tablet 15,113795.86,4,0.25,-7830.05
ORD0219,2023-11-22,2023-11-26,Customer_152,South,Phones,Feature Phone,Feature Phone 32,99554.06,6,0.14,-5725.32
ORD0220,2023-01-13,2023-01-15,Customer_56,East,Tablets,Windows Tablet,Windows Tablet 9,77122.26,8,0.25,-6209.19
ORD0221,2023-03-29,2023-03-31,Customer_75,North,Tablets,Windows Tablet,Windows Tablet 23,118613.71,6,0.27,-23302.99
ORD0222,2024-12-17,2024-12-19,Customer_45,South,Tablets,Android Tablet,Android Tablet 1,55782.08,5,0.07,6868.41
ORD0223,2024-06-06,2024-06-10,Customer_143,South,Accessories,Chargers,Chargers 39,94282.41,9,0.16,2827.32
ORD0224,2024-02-17,2024-02-19,Customer_155,North,Tablets,Android Tablet,Android Tablet 9,66934.06,3,0.04,3734.9
